elapsed_s,elapsed_h,model_temperature,sensor_temperature,model_ext_temperature,current_temperature,target_temperature,hvac_action,hvac_mode,preset_mode,on_percent,power_percent,smartpi_a,smartpi_b,smartpi_learn_ok_count_a,smartpi_learn_ok_count_b,smartpi_learn_last_reason,smartpi_governance_regime,smartpi_phase,deadtime_heat_s,model_effective_heater_power_w,model_heating_rate_c_per_s,model_heat_loss_rate_c_per_s,model_net_heat_rate_c_per_s,model_fabric_temperature,model_solar_gain_w,model_internal_gain_w,model_fabric_to_air_flux_w,model_total_heat_loss_w,model_effective_u_value_W_per_C,model_weather_k_multiplier,model_infiltration_loss_w,model_fabric_loss_w,switch_state
10.0,0.002777777777777778,17.99948,17.999,5.0,18.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,,0.0,0.0,5.1997919999999994e-05,-0.000456980661497721,18.0,0.0,0.0,0.0,457.0,35.15,1.0,52.0,405.0,1.0
70.0,0.019444444444444445,18.056179478478114,18.056,5.0,18.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,,1000.0,0.001,5.811004768536053e-05,0.000542802560835648,18.0,0.0,0.0,-5.9,457.2,35.02,1.0,52.2,405.0,1.0
130.0,0.03611111111111111,18.11243912903929,18.112,5.0,18.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,6.541628876644948e-05,0.0005425873651760669,18.0,0.0,0.0,-13.0,457.4,34.88,1.0,52.4,405.0,1.0
190.0,0.05277777777777778,18.16826238740118,18.168,5.0,18.2,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,7.266545711874251e-05,0.000542373739168456,18.0,0.0,0.0,-20.0,457.6,34.75,1.0,52.7,405.0,1.0
250.0,0.06944444444444445,18.223652662442653,18.224,5.0,18.2,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,7.985799857716733e-05,0.0005421616705542499,18.0,0.0,0.0,-27.0,457.8,34.62,1.0,52.9,404.9,1.0
310.0,0.08611111111111111,18.278613336413436,18.279,5.0,18.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,8.699435549392205e-05,0.0005419511471706427,18.0,0.0,0.0,-33.9,458.0,34.5,1.0,53.1,404.9,1.0
370.0,0.10277777777777777,18.33314776514214,18.333,5.0,18.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,9.407496676568208e-05,0.000541742156949841,18.0,0.0,0.0,-40.7,458.3,34.37,1.0,53.3,404.9,1.0
430.0,0.11944444444444445,18.387259278242674,18.387,5.0,18.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00010110026786059649,0.0005415346879183216,18.0,0.0,0.0,-47.6,458.5,34.25,1.0,53.5,404.9,1.0
490.0,0.1361111111111111,18.440951179318994,18.441,5.0,18.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00010807069084506753,0.0005413287281960941,18.0,0.0,0.0,-54.3,458.7,34.12,1.0,53.8,404.9,1.0
550.0,0.1527777777777778,18.4942267461683,18.494,5.0,18.5,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00011498666441032415,0.0005411242659959716,18.0,0.0,0.0,-61.0,458.9,34.01,1.0,54.0,404.9,1.0
610.0,0.16944444444444445,18.54708923098264,18.547,5.0,18.5,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00012184861389878889,0.0005409212896228444,18.0,0.0,0.0,-67.7,459.1,33.89,1.0,54.2,404.9,1.0
670.0,0.18611111111111112,18.599541860548907,18.6,5.0,18.6,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00012865696133023798,0.0005407197874729618,18.0,0.0,0.0,-74.3,459.3,33.77,1.0,54.4,404.9,1.0
730.0,0.20277777777777778,18.651587836447312,18.652,5.0,18.7,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.0001354121254277547,0.000540519748033218,18.0,0.0,0.0,-80.8,459.5,33.66,1.0,54.6,404.9,1.0
790.0,0.21944444444444444,18.70323033524829,18.703,5.0,18.7,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00014211452164348407,0.0005403211598804438,18.0,0.0,0.0,-87.3,459.7,33.55,1.0,54.8,404.9,1.0
850.0,0.2361111111111111,18.754472508707874,18.754,5.0,18.8,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,skip: governance (perturbed),warmup,Hysteresis,30.0,1000.0,0.001,0.00014876456218418797,0.0005401240116807048,18.0,0.0,0.0,-93.7,459.9,33.43,1.0,55.0,404.9,1.0
910.0,0.25277777777777777,18.805317483961517,18.805,5.0,18.8,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00015536265603658704,0.0005399282921886033,18.0,0.0,0.0,-100.1,460.1,33.33,1.0,55.2,404.9,1.0
970.0,0.26944444444444443,18.85576836371644,18.856,5.0,18.9,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.0001619092089925245,0.000539733990246587,18.0,0.0,0.0,-106.5,460.3,33.22,1.0,55.4,404.8,1.0
1030.0,0.2861111111111111,18.90582822644246,18.906,5.0,18.9,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.00016840462367391973,0.0005395410947842637,18.0,0.0,0.0,-112.8,460.5,33.11,1.0,55.6,404.8,1.0
1090.0,0.30277777777777776,18.955500126561308,18.956,5.0,19.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00017484929955753075,0.000539349594817719,17.99,0.0,0.0,-119.0,460.7,33.01,1.0,55.8,404.8,1.0
1150.0,0.3194444444444444,19.004787094634505,19.005,5.0,19.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00018124363299952382,0.0005391594794488417,17.99,0.0,0.0,-125.2,460.8,32.91,1.0,56.0,404.8,1.0
1210.0,0.33611111111111114,19.053692137549724,19.054,5.0,19.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00018758801725984861,0.0005389707378646533,17.99,0.0,0.0,-131.4,461.0,32.8,1.0,56.2,404.8,1.0
1270.0,0.3527777777777778,19.10221823870575,19.102,5.0,19.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00019388284252642684,0.0005387833593366429,17.99,0.0,0.0,-137.5,461.2,32.71,1.0,56.4,404.8,1.0
1330.0,0.36944444444444446,19.15036835819595,19.15,5.0,19.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00020012849593915052,0.0005385973332201072,17.99,0.0,0.0,-143.5,461.4,32.61,1.0,56.6,404.8,1.0
